code_type,code,consumer_description
HCPCS,0303U,Red blood cell adhesion test under low oxygen conditions
HCPCS,0304U,Red blood cell adhesion test under normal oxygen
HCPCS,0305U,Red blood cell function and deformability stress test
HCPCS,0306U,Cancer minimal residual disease next-generation analysis first
HCPCS,0307U,Cancer minimal residual disease next-generation analysis subsequent
HCPCS,0308T,Insertion of ocular telescope prosthesis with lens removal
HCPCS,0308U,Cardiovascular disease analysis 3 proteins with algorithm
HCPCS,0309U,Cardiovascular disease analysis 4 proteins with algorithm
HCPCS,0310U,Pediatric vasculitis Kawasaki disease 3 biomarkers
HCPCS,0311T,Calculation and analysis of central arterial pressure
HCPCS,0311U,Bacterial infection quantitative antimicrobial susceptibility
HCPCS,0312T,Laparoscopic vagus nerve stimulator implantation
HCPCS,0312U,Lupus autoimmune disease analysis 8 IgG autoantibodies
HCPCS,0313T,Laparoscopic removal of vagus nerve stimulator array
HCPCS,0313U,Pancreatic cancer DNA and RNA sequencing 74 genes
HCPCS,0314T,Laparoscopic removal vagus nerve array and pulse generator
HCPCS,0314U,Cutaneous melanoma mRNA analysis 35 genes
HCPCS,0315T,Removal of vagus nerve pulse generator
HCPCS,0315U,Cutaneous squamous cell carcinoma mRNA analysis 40 genes
HCPCS,0316T,Replacement of vagus nerve pulse generator
HCPCS,0316U,Lyme disease Borrelia OspA evaluation
HCPCS,0317T,Electronic analysis vagus nerve pulse generator
HCPCS,0317U,Lung cancer 4-probe FISH assay
HCPCS,0318U,Pediatric whole genome methylation analysis 50 or more genes
HCPCS,0319U,Kidney transplant RNA pre-transplant blood test
HCPCS,0320U,Kidney transplant RNA post-transplant blood test
HCPCS,0321U,Urogenital pathogen identification 20 bacteria and fungi
HCPCS,0322U,Autism spectrum disorder metabolite analysis 14 markers
HCPCS,0323U,Central nervous system pathogen next-generation sequencing
HCPCS,0326U,Targeted gene sequencing analysis panel 83 genes
HCPCS,0327U,Fetal aneuploidy trisomy DNA sequencing
HCPCS,0328U,Drug assay screening 120 or more medications and metabolites
HCPCS,0329T,Eye pressure monitoring 24 hours or more
HCPCS,0329U,Neonatal exome sequencing analysis
HCPCS,0330T,Tear film imaging for dry eye evaluation
HCPCS,0330U,Vaginal pathogen panel identification 27 organisms
HCPCS,0331T,Heart sympathetic imaging planar scan
HCPCS,0331U,Hodgkin lymphoma optical genome mapping
HCPCS,0332T,Heart sympathetic imaging planar SPECT scan
HCPCS,0332U,Cancer tumor genetic profiling 8 DNA markers
HCPCS,0333T,Visual evoked potential screening automated
HCPCS,0333U,Liver cancer surveillance cell-free DNA test
HCPCS,0334U,Cancer solid organ targeted gene analysis 84 or more genes
HCPCS,0335T,Insertion of sinus tarsi foot implant
HCPCS,0335U,Rare disease whole genome sequencing fetal sample
HCPCS,0336U,Rare disease whole genome sequencing blood or saliva
HCPCS,0337U,Plasma cell disorder and myeloma identification
HCPCS,0338T,Transcatheter renal nerve ablation one side
HCPCS,0338U,Cancer solid tumor circulating cell selection test
HCPCS,0339T,Transcatheter renal nerve ablation both sides
HCPCS,0339U,Prostate cancer mRNA marker test HOXC6 and DLX1
HCPCS,0340U,Cancer minimal residual disease plasma test
HCPCS,0341T,Quantitative pupil measurement with report
HCPCS,0341U,Fetal aneuploidy DNA sequencing comparative analysis
HCPCS,0342T,Therapeutic apheresis with HDL delipidation
HCPCS,0342U,Pancreatic cancer multiple immunoassay test
HCPCS,0343U,Prostate cancer exosome analysis 442 small noncoding RNA
HCPCS,0344U,Fatty liver disease lipid evaluation 28 markers
HCPCS,0345T,Transcatheter mitral valve repair percutaneous clip
HCPCS,0345U,Psychiatric genomic analysis panel 15 genes
HCPCS,0346T,Ultrasound elastography tissue stiffness measurement
HCPCS,0346U,Alzheimer beta amyloid 40 and 42 blood test
HCPCS,0347T,Insertion of bone device for radiographic analysis
HCPCS,0347U,Drug metabolism DNA analysis 16 genes
HCPCS,0348T,Radiographic spine examination with bone device
HCPCS,0348U,Drug metabolism DNA analysis 25 genes
HCPCS,0349T,Radiographic upper extremity exam with bone device
HCPCS,0349U,Drug metabolism DNA analysis 27 genes with interactions
HCPCS,0350T,Radiographic lower extremity exam with bone device
HCPCS,0350U,Drug metabolism DNA analysis 27 genes
HCPCS,0351T,Intraoperative breast lymph node OCT imaging per specimen
HCPCS,0351U,Infection bacterial or viral biomarker IP-10 test
HCPCS,0352T,Breast lymph node OCT imaging interpretation per specimen
HCPCS,0352U,Bacterial vaginosis and vaginitis pathogen panel
HCPCS,0353T,Breast surgical cavity OCT imaging real-time intraoperative
HCPCS,0353U,Chlamydia and gonorrhea amplified probe test
HCPCS,0354T,Breast surgical cavity OCT imaging interpretation
HCPCS,0354U,HPV high-risk mRNA E6 and E7 detection
HCPCS,0355T,GI tract capsule endoscopy swallowed camera exam
HCPCS,0355U,APOL1 kidney disease risk variant test
HCPCS,0356T,Insertion of drug-eluting device for eye pressure
HCPCS,0356U,Oropharyngeal or anal cancer HPV DNA digital PCR
HCPCS,0357T,Cryopreservation of egg cells for fertility
HCPCS,0358T,Body composition assessment bioimpedance analysis
HCPCS,0358U,Alzheimer beta-amyloid 1-42 and 1-40 ratio test
HCPCS,0359U,Prostate cancer PSA comprehensive analysis
HCPCS,0360U,Lung cancer autoantibody ELISA panel 7 markers
HCPCS,0361U,Neurofilament light chain blood test for nerve damage
HCPCS,0362T,Behavioral identification support assessment per 15 minutes
HCPCS,0362U,Thyroid cancer RNA analysis 82 genes
HCPCS,0363U,Urethral cancer mRNA 5 gene algorithm
HCPCS,0364U,Hodgkin lymphoma gene sequencing analysis algorithm
HCPCS,0365U,Bladder cancer 10-probe detection test
HCPCS,0366U,Bladder cancer 10-probe recurrence detection test
HCPCS,0367U,Bladder cancer monitoring after tumor removal
HCPCS,0368U,Colorectal cancer mutation and methylation markers
HCPCS,0369U,GI pathogen panel 31 organisms and 21 resistance genes
HCPCS,0370U,Surgical wound pathogen panel 34 organisms and 21 genes
HCPCS,0371U,Urogenital pathogen DNA panel 16 organisms
HCPCS,0372U,Urogenital pathogen antibiotic resistance detection
HCPCS,0373T,Adaptive behavior treatment per 15 minutes
HCPCS,0373U,Respiratory tract infection panel 17 organisms with resistance
HCPCS,0374U,Urogenital pathogen panel 21 organisms and 21 resistance genes
HCPCS,0375T,Total disc replacement anterior approach cervical spine
HCPCS,0375U,Ovarian cancer biochemical assay 7 protein algorithm
HCPCS,0376T,Insertion of anterior segment eye drain
HCPCS,0376U,Prostate cancer image analysis 128 features
HCPCS,0377T,Anoscopy with injection for incontinence
HCPCS,0377U,Cardiovascular disease lipoprotein quantification test
HCPCS,0378T,Visual field assessment physician review and report
HCPCS,0378U,RFC1 repeat expansion variant analysis
HCPCS,0379T,Visual field assessment technical support
HCPCS,0379U,Cancer targeted gene panel DNA 523 and RNA 55 genes
HCPCS,0380T,Computer animated retinal imaging series
HCPCS,0380U,Drug metabolism adverse reaction targeted analysis 20 genes
HCPCS,0381T,External heart rate monitoring for seizures 14 days
HCPCS,0381U,Maple syrup urine disease monitoring test
HCPCS,0382T,External heart rate seizure monitoring review and interpret
HCPCS,0382U,Hyperphenylalaninemia monitoring blood test
HCPCS,0383U,Tyrosinemia type I monitoring blood test
HCPCS,0384U,Chronic kidney disease risk staging algorithm
HCPCS,0385U,Chronic kidney disease diabetic kidney disease risk algorithm
HCPCS,0387U,Melanoma AMBRA1 and AMLO biomarker analysis
HCPCS,0388U,Non-small cell lung cancer 37 gene analysis
HCPCS,0389U,Pediatric febrile illness IFI27 and MCEMP1 RNA test
HCPCS,0390U,Preeclampsia risk biomarker test KDR ENG and RBP4
HCPCS,0391T,Evaluation of leadless pacemaker during procedure
HCPCS,0391U,Cancer solid tumor DNA and RNA analysis 437 genes
HCPCS,0392U,Drug metabolism pharmacogenomic genotyping 16 genes
HCPCS,0393U,Parkinson disease alpha-synuclein protein test
HCPCS,0394T,High dose rate electronic skin surface radiation therapy
HCPCS,0394U,PFAS chemical exposure blood test 16 compounds
HCPCS,0395T,High dose rate electronic interstitial radiation therapy
HCPCS,0395U,Lung cancer multi-omics plasma algorithm test
HCPCS,0396T,Intraoperative kinetic balance sensor measurement
HCPCS,0397T,ERCP with optical endomicroscopy of bile duct
HCPCS,0398T,MRI-guided focused ultrasound brain lesion ablation
HCPCS,0398U,Barrett esophagus DNA methylation analysis
HCPCS,0399T,Myocardial strain imaging heart function test
HCPCS,0399U,Cerebral folate deficiency serum test
HCPCS,0400T,Multispectral digital skin lesion analysis first lesion
HCPCS,0400U,Expanded carrier screening 145 gene panel
HCPCS,0401T,Multispectral digital skin lesion analysis additional
HCPCS,0401U,Cardiac inherited heart disease 9 genes 12 variants
HCPCS,0402T,Corneal collagen cross-linking treatment
HCPCS,0402U,STI infection multiplex amplified probe test
HCPCS,0403T,Diabetes prevention program standardized curriculum
HCPCS,0403U,Prostate cancer mRNA 18 gene urine test
HCPCS,0404T,Transcervical uterine fibroid ablation
HCPCS,0404U,Breast cancer thymidine kinase measurement
HCPCS,0405U,Pancreatic cancer 59 methylation block markers
HCPCS,0406U,Lung cancer flow cytometry 5 marker analysis
HCPCS,0407U,Diabetic kidney disease multiple biomarker algorithm
HCPCS,0408T,Insertion or replacement cardiac modulation system
HCPCS,0408U,COVID-19 acoustic wave biosensor antigen test
HCPCS,0409T,Insertion or replacement cardiac modulation pulse generator
HCPCS,0409U,Cancer solid tumor DNA 80 and RNA 36 gene analysis
HCPCS,0410T,Insertion or replacement cardiac modulation atrial electrode
HCPCS,0410U,Pancreatic cancer whole genome DNA sequencing
HCPCS,0411T,Insertion or replacement cardiac modulation ventricular electrode
HCPCS,0411U,Psychiatric genomic analysis panel 15 genes
HCPCS,0412T,Removal of cardiac modulation pulse generator
HCPCS,0412U,Alzheimer beta amyloid 42/40 immunoprecipitation blood test
HCPCS,0413T,Removal of cardiac modulation transvenous electrode
HCPCS,0413U,Hodgkin lymphoma optical genome mapping DNA test
HCPCS,0414T,Removal and replacement cardiac modulation pulse generator
HCPCS,0414U,Lung cancer augmented algorithm analysis whole slide 8
HCPCS,0415T,Repositioning cardiac modulation transvenous electrode
HCPCS,0415U,Cardiovascular acute coronary syndrome blood algorithm
HCPCS,0416T,Relocation of skin pocket for pulse generator
HCPCS,0417T,Programming evaluation of cardiac modulation device
HCPCS,0417U,Rare disease analysis 335 nuclear genes
HCPCS,0418T,Interrogation evaluation of cardiac modulation device
HCPCS,0418U,Breast cancer augmented algorithm analysis whole slide 8
HCPCS,0419T,Destruction of neurofibroma extensive face head neck
HCPCS,0419U,Neuropsychiatric gene sequencing variant analysis 13 genes
HCPCS,0420T,Destruction of neurofibroma extensive trunk extremities
HCPCS,0421T,Transurethral waterjet ablation of prostate
HCPCS,0421U,Colorectal cancer screening single amplification 8 RNA
HCPCS,0422T,Tactile breast imaging unilateral or bilateral
HCPCS,0423T,Assay secretory type II phospholipase A2 blood test
HCPCS,0423U,Psychiatric genomic analysis panel 26 genes
HCPCS,0424T,Insertion or replacement sleep apnea neurostimulator complete
HCPCS,0424U,Prostate cancer exosome analysis 53 small noncoding RNA
HCPCS,0425T,Insertion or replacement sleep apnea sensor lead
HCPCS,0426T,Insertion or replacement sleep apnea stimulation lead
HCPCS,0427T,Insertion or replacement sleep apnea pulse generator
HCPCS,0427U,Monocyte distribution width whole blood test
HCPCS,0428T,Removal of sleep apnea neurostimulator pulse generator
HCPCS,0429T,Removal of sleep apnea neurostimulator sensor lead
HCPCS,0429U,HPV oropharyngeal swab 14 high-risk types
HCPCS,0430T,Removal of sleep apnea neurostimulator stimulation lead
HCPCS,0430U,GI malabsorption comprehensive panel AAT calprotectin pancreatic
HCPCS,0431T,Removal and replacement sleep apnea pulse generator
HCPCS,0431U,Glycine receptor alpha-1 IgG autoantibody test serum or CSF
HCPCS,0432T,Repositioning sleep apnea stimulation lead
HCPCS,0432U,KLHL11 antibody autoimmune encephalitis test
HCPCS,0433T,Repositioning sleep apnea sensing lead
HCPCS,0433U,Prostate cancer 5 DNA region methylation PCR test
HCPCS,0434T,Interrogation evaluation sleep apnea neurostimulator
HCPCS,0434U,Drug metabolism adverse variant analysis 25 genes
HCPCS,0435T,Programming evaluation sleep apnea neurostimulator session
HCPCS,0435U,Cancer chemotherapy drug cytotoxicity cancer stem cell 14 drugs
HCPCS,0436T,Programming evaluation sleep apnea neurostimulator study
HCPCS,0437T,Implantation synthetic fascial reinforcement abdominal wall
HCPCS,0437U,Anxiety disorder mRNA analysis 15 biomarkers
HCPCS,0438U,Drug metabolism adverse variant analysis 33 genes
HCPCS,0439T,Myocardial perfusion echo heart viability assessment
HCPCS,0440T,Cryoablation upper extremity peripheral nerve image-guided
HCPCS,0441T,Cryoablation lower extremity peripheral nerve image-guided
HCPCS,0442T,Cryoablation nerve plexus or truncal nerve image-guided
HCPCS,0442U,Respiratory infection MxA and CRP biomarker test
HCPCS,0443T,Real-time spectral analysis prostate tissue fluorescence
HCPCS,0443U,Neurofilament light chain ultrasensitive blood test
HCPCS,0444T,Initial placement of drug-eluting eye insert
HCPCS,0444U,Cancer solid organ targeted gene panel 361 genes
HCPCS,0445T,Subsequent placement of drug-eluting eye insert
HCPCS,0445U,Alzheimer beta amyloid 42 and phospho-tau 181 CSF test
HCPCS,0446T,Creation subcutaneous implantable glucose sensor with training
HCPCS,0446U,Lupus autoimmune disease 10 cytokine analysis
HCPCS,0447T,Removal of implantable glucose sensor through incision
HCPCS,0447U,Lupus autoimmune disease 11 cytokine analysis
HCPCS,0448T,Removal and reinsertion glucose sensor different site
HCPCS,0449T,Insertion aqueous drainage device without reservoir initial
HCPCS,0449U,Carrier screening severe inherited conditions 5 genes
HCPCS,0450T,Insertion aqueous drainage device each additional
HCPCS,0450U,Multiple myeloma monoclonal protein mass spectrometry
HCPCS,0451U,Multiple myeloma peptide ion quantification mass spectrometry
HCPCS,0452U,Bladder cancer methylation biomarker urine test
HCPCS,0453U,Colorectal cancer cell-free DNA quantitative PCR test
HCPCS,0454U,Rare disease identification optical genome mapping test
HCPCS,0455T,Removal of aortic ventricular assist device complete
HCPCS,0455U,STI pathogen multiplex amplified probe urine test
HCPCS,0456T,Removal of aortic device vascular seal
HCPCS,0457T,Removal of mechanical-electronic skin interface device
HCPCS,0457U,PFAS chemical exposure blood test 9 compounds
HCPCS,0458T,Removal of subcutaneous electrode
HCPCS,0458U,Breast cancer S100 A8 and A9 protein ELISA test
HCPCS,0459U,Alzheimer beta amyloid 42 and total tau CSF test
HCPCS,0460T,Repositioning aortic ventricular device electrode
HCPCS,0461T,Repositioning aortic counterpulsation device
HCPCS,0462T,Programming evaluation aortic ventricular system
HCPCS,0462U,Melatonin level test with sleep study
HCPCS,0463T,Interrogation of aortic ventricular system
HCPCS,0464T,Visual evoked potential test for glaucoma
HCPCS,0464U,Colorectal cancer screening DNA marker quantitative test
HCPCS,0465T,Suprachoroidal injection of medication without supply
HCPCS,0465U,Urethral carcinoma DNA methylation 2 gene test
HCPCS,0466T,Insertion of chest wall respiratory electrode
HCPCS,0467T,Revision or replacement chest respiratory electrode
HCPCS,0467U,Bladder cancer DNA next-generation sequencing 60 genes
HCPCS,0468T,Removal of chest wall respiratory electrode
HCPCS,0468U,Fatty liver disease NASH biomarker panel
HCPCS,0469T,Retinal polarization scan screening bilateral
HCPCS,0469U,Rare disease whole genome sequencing fetal sample
HCPCS,0470T,OCT skin imaging first lesion acquisition and interpretation
HCPCS,0471T,OCT skin imaging additional lesion
HCPCS,0471U,Colorectal cancer 35 variant KRAS and NRAS analysis
HCPCS,0472T,Device interrogation programming respiratory electrode
HCPCS,0473T,Device interrogation reprogramming respiratory electrode
HCPCS,0473U,Cancer solid tumor blood or saliva 648 gene analysis
HCPCS,0474T,Insertion anterior segment aqueous drain with reservoir
HCPCS,0474U,Hereditary pancreatic cancer gene panel 88 genes
HCPCS,0475T,Recording fetal cardiac signal 3 channel
HCPCS,0475U,Hereditary prostate cancer gene panel 23 genes
HCPCS,0476T,Fetal cardiac signal electronic tracing data
HCPCS,0476U,Drug metabolism psychiatric 14 genes and CYP2D6
HCPCS,0477T,Fetal cardiac signal extraction analysis
HCPCS,0477U,Drug metabolism psychiatric 14 genes gene-drug interactions
HCPCS,0478T,Fetal cardiac 3-channel review and interpretation
HCPCS,0479T,Fractional ablative laser fenestration first 100 sq cm
HCPCS,0479U,Tau phosphorylated pTau217 Alzheimer blood test
HCPCS,0480T,Fractional ablative laser fenestration additional 100 sq cm
HCPCS,0480U,Central nervous system infection metagenomic sequencing
HCPCS,0481T,Injection of autologous white blood cell concentrate
HCPCS,0481U,Brain tumor IDH1 IDH2 and TERT promoter sequencing
HCPCS,0482T,Absolute quantification of heart blood flow PET scan
HCPCS,0482U,Preeclampsia risk sFlt1 and PlGF biomarker test
HCPCS,0483T,Transcatheter mitral valve implant percutaneous approach
HCPCS,0483U,Gonorrhea antimicrobial resistance mutation test
HCPCS,0484T,Transcatheter mitral valve implant transthoracic approach
HCPCS,0484U,Mycoplasma genitalium antibiotic resistance mutation test
HCPCS,0485T,OCT middle ear imaging with interpretation one side
HCPCS,0486T,OCT middle ear imaging with interpretation both sides
HCPCS,0487T,Transvaginal biomechanical mapping with report
HCPCS,0487U,Cancer solid tumor cell-free DNA targeted panel 84 genes
HCPCS,0488T,Diabetes prevention program online 30-day period
HCPCS,0488U,Prenatal fetal antigen screening cell-free DNA analysis
HCPCS,0489T,Regenerative cell treatment for scleroderma hands
HCPCS,0490T,Regenerative cell treatment scleroderma multiple injections
HCPCS,0490U,Cutaneous or uveal melanoma CD146 circulating marker test
HCPCS,0491T,Ablative laser open wound first 20 sq cm
HCPCS,0491U,Cancer circulating tumor cell estrogen receptor protein test
HCPCS,0492T,Ablative laser open wound additional 20 sq cm
HCPCS,0492U,Cancer circulating tumor cell PD-L1 protein test
HCPCS,0493U,Transplant donor-derived cell-free DNA next-generation sequencing
HCPCS,0494T,Preparation and setup of donor lung preservation device
HCPCS,0494U,Fetal RHD blood type gene analysis next-generation sequencing
HCPCS,0495T,Monitoring donor lung first 2 hours
HCPCS,0495U,Prostate cancer circulating protein plasma test
HCPCS,0496T,Monitoring donor lung each additional hour
HCPCS,0497T,External patient-activated ECG in-office connection
HCPCS,0497U,Prostate cancer mRNA RT-PCR 6 gene test
HCPCS,0498T,External patient-activated ECG review per 30 days
HCPCS,0499T,Cystoscopy with urethral drug delivery for stricture
HCPCS,0499U,Colorectal and lung cancer DNA sequencing 8 genes
HCPCS,0500T,HPV test with separate reporting of high-risk types
HCPCS,0500U,Autoinflammatory disease VEXAS syndrome DNA test
HCPCS,0501F,Prenatal flow sheet documentation quality measure
HCPCS,0501T,Coronary fractional flow reserve derived from CT scan data
HCPCS,0502T,Coronary FFR CT data preparation and transmission
HCPCS,0502U,HPV E6 E7 high-risk type cervical mRNA test
HCPCS,0503F,Postpartum care visit quality measure
HCPCS,0503T,Coronary FFR CT data analysis and model generation
HCPCS,0503U,Alzheimer disease beta-amyloid and tau protein blood test
HCPCS,0504T,Coronary FFR CT data review interpretation and report
HCPCS,0504U,UTI pathogen identification 17 organisms
HCPCS,0505T,Endovascular femoral-popliteal artery stent graft placement
HCPCS,0505U,Vaginal infection pathogen identification 32 organisms
HCPCS,0506T,Macular pigment optical density measurement
HCPCS,0506U,Barrett esophagus cell analysis 89 biomarkers
HCPCS,0507T,Near-infrared meibomian gland dual imaging
HCPCS,0507U,Ovarian cancer DNA whole genome hydroxymethylcytosine test
HCPCS,0508T,Pulse echo ultrasound bone density measurement tibia
HCPCS,0509T,Pattern electroretinography eye test
HCPCS,0510T,Removal of sinus tarsi foot implant
HCPCS,0511T,Removal and reinsertion of sinus tarsi foot implant
HCPCS,0511U,Cancer solid tumor 3D microenvironment analysis 36 markers
HCPCS,0512T,Extracorporeal shock wave wound healing initial wound
HCPCS,0512U,Prostate cancer digitized image MSI analysis
HCPCS,0513F,Elevated blood pressure plan of care documented
HCPCS,0513T,Extracorporeal shock wave wound healing additional wound
HCPCS,0513U,Prostate cancer MSI and HRD algorithm analysis
HCPCS,0514T,Intraoperative visual axis identification patient fixation
HCPCS,0514U,IBD adalimumab drug level immunoassay
HCPCS,0515T,Insertion wireless cardiac stimulator left ventricle complete
HCPCS,0515U,IBD infliximab drug level immunoassay
HCPCS,0516T,Insertion wireless cardiac stimulator electrode only
HCPCS,0516U,Drug metabolism pharmacogenomic genotyping 40 genes
HCPCS,0517T,Insertion wireless cardiac stimulator both components
HCPCS,0517U,Therapeutic drug monitoring 80 or more psychoactive drugs
HCPCS,0518T,Removal wireless cardiac stimulator battery component
HCPCS,0518U,Therapeutic drug monitoring 90 or more pain and mental health
HCPCS,0519T,Removal and replacement wireless cardiac stimulator both
HCPCS,0519U,Therapeutic drug monitoring medications pain depression anxiety
HCPCS,0520T,Removal and replacement wireless cardiac stimulator battery
HCPCS,0520U,Therapeutic drug monitoring 200 or more drugs and substances
HCPCS,0521F,Pain care plan documented quality measure
HCPCS,0521T,Interrogation wireless cardiac stimulator in person
HCPCS,0522T,Programming evaluation wireless cardiac stimulator in person
HCPCS,0523T,Intraoperative coronary fractional flow with 3D mapping
HCPCS,0524T,Endovenous catheter chemical ablation with imaging guidance
HCPCS,0525T,Insertion or replacement implantable interatrial monitor complete
HCPCS,0526T,Insertion or replacement interatrial monitor electrode only
HCPCS,0527T,Insertion or replacement interatrial monitor device only
HCPCS,0527U,HSV 1 and 2 and varicella zoster virus pathogen panel
HCPCS,0528T,Programming evaluation interatrial monitoring device
HCPCS,0528U,Lower respiratory tract infection 18 bacteria 8 viruses RNA
HCPCS,0529T,Interrogation evaluation interatrial monitoring device
HCPCS,0530T,Removal complete interatrial monitoring system
HCPCS,0531T,Removal interatrial monitoring electrode only
HCPCS,0532T,Removal interatrial monitoring implant device only
HCPCS,0533T,Continuous recording movement disorder 6 to 10 days
HCPCS,0535T,Continuous recording movement disorder report configuration
HCPCS,0536T,Continuous recording movement disorder download with review
HCPCS,0537T,Harvesting cells for CAR-T cell therapy
HCPCS,0538T,Cryopreservation of cells for CAR-T therapy
HCPCS,0539T,Preparation for CAR-T cell therapy administration
HCPCS,0540T,CAR-T cell therapy autologous cell administration
HCPCS,0541T,Myocardial magnetocardiography imaging
HCPCS,0542T,Myocardial magnetocardiography interpretation and report
HCPCS,0543T,Transcatheter mitral valve repair with artificial chords
HCPCS,0544T,Transcatheter mitral valve reconstruction with adjustable device
HCPCS,0545T,Transcatheter tricuspid valve annulus reconstruction
HCPCS,0546T,Radiofrequency spectral margin assessment breast surgery
HCPCS,0547T,Bone material quality testing microindentation tibia
HCPCS,0548T,Transperineal balloon continence device bilateral
HCPCS,0549T,Transperineal balloon continence device unilateral
HCPCS,0550T,Transperineal balloon continence device removal
HCPCS,0551T,Transperineal balloon continence device adjustment
HCPCS,0552T,Low-level laser therapy dynamic photonic and thermokinetic
HCPCS,0553T,Percutaneous transcatheter iliac anastomotic implant
HCPCS,0554T,Bone strength and fracture risk analysis
HCPCS,0555T,Bone strength fracture risk data transmission
HCPCS,0556T,Bone strength fracture risk assessment
HCPCS,0557T,Bone strength fracture risk interpretation and report
HCPCS,0558T,CT scan for biomechanical CT analysis
HCPCS,0559T,3D printed anatomic model first component
HCPCS,0560T,3D printed anatomic model each additional component
HCPCS,0561T,3D printed anatomic surgical guide first guide
HCPCS,0562T,3D printed anatomic surgical guide additional guide
HCPCS,0563T,Meibomian gland evacuation using heat bilateral
HCPCS,0564T,Cancer chemotherapy drug cytotoxicity cancer stem cell assay
HCPCS,0565T,Autologous adipose tissue cell implant creation
HCPCS,0566T,Autologous adipose tissue cell implant injection knee
HCPCS,0567T,Permanent fallopian tube occlusion with implant
HCPCS,0568T,Introduction mixed saline and air for fallopian tube test
HCPCS,0569T,Transcatheter tricuspid valve replacement percutaneous first
HCPCS,0570T,Transcatheter tricuspid valve replacement additional prosthesis
HCPCS,0571T,Insertion or replacement defibrillator substernal electrode
HCPCS,0572T,Insertion substernal defibrillator electrode
HCPCS,0573T,Removal substernal defibrillator electrode
HCPCS,0574T,Repositioning substernal defibrillator electrode
HCPCS,0575T,Programming evaluation defibrillator substernal electrode
HCPCS,0576T,Interrogation evaluation defibrillator substernal electrode
HCPCS,0577T,Electrophysiological evaluation defibrillator substernal electrode
HCPCS,0578T,Remote interrogation defibrillator substernal under 90 days physician
HCPCS,0579T,Remote interrogation defibrillator substernal 90 days technician
HCPCS,0580T,Removal substernal defibrillator pulse generator only
HCPCS,0581T,Percutaneous ablation malignant breast tumor
HCPCS,0582T,Transurethral ablation of malignant prostate tissue
HCPCS,0583T,Tympanostomy tube insertion with anesthesia
HCPCS,0584T,Percutaneous islet cell transplant for diabetes
HCPCS,0585T,Laparoscopic islet cell transplant for diabetes
HCPCS,0586T,Open islet cell transplant for diabetes
HCPCS,0587T,Percutaneous implant or replace insulin delivery system
HCPCS,0588T,Revision or removal of insulin delivery system
HCPCS,0589T,Electronic analysis simple programming insulin system 1-3 params
HCPCS,0590T,Electronic analysis complex programming insulin system 4+ params
HCPCS,0591T,Health and well-being coaching face-to-face initial assessment
HCPCS,0592T,Health and well-being coaching face-to-face follow-up session
HCPCS,0593T,Health and well-being coaching face-to-face group session
HCPCS,0594T,Osteotomy with external bone lengthening device
HCPCS,0596T,Temporary female intraurethral valve-pump first insertion
HCPCS,0597T,Temporary female intraurethral valve-pump replacement
HCPCS,0598T,Noncontact real-time fluorescence wound imaging first site
HCPCS,0599T,Noncontact real-time fluorescence wound imaging each additional
HCPCS,0600T,Irreversible electroporation tumor ablation percutaneous
HCPCS,0601T,Irreversible electroporation tumor ablation open
HCPCS,0602T,Transdermal kidney function GFR measurement
HCPCS,0603T,Transdermal kidney function GFR monitoring
HCPCS,0604T,Remote OCT retina imaging device setup and patient education
HCPCS,0605T,Remote OCT retina technical support minimum 8 daily per 30 days
HCPCS,0606T,Remote OCT retina physician review per 30 days
HCPCS,0607T,Remote monitoring external continuous lung fluid monitor setup
HCPCS,0608T,Remote monitoring external continuous lung fluid data analysis
HCPCS,0609T,MRI disc pain data acquisition
HCPCS,0610T,MRI disc pain data transmission
HCPCS,0611T,MRI disc pain algorithm analysis
HCPCS,0612T,MRI discogenic pain interpretation and report
HCPCS,0613T,Percutaneous transcatheter interatrial septal shunt placement
HCPCS,0614T,Removal and replacement substernal defibrillator pulse generator
HCPCS,0615T,Eye movement analysis without spatial calibration
HCPCS,0616T,Insertion of iris prosthesis
HCPCS,0617T,Insertion iris prosthesis with removal and reinsertion
HCPCS,0618T,Insertion iris prosthesis with secondary lens
HCPCS,0619T,Cystoscopy with prostate commissurotomy
HCPCS,0620T,Endovascular venous arterialization tibial or peroneal vein
HCPCS,0621T,Trabeculostomy internal laser for glaucoma
HCPCS,0622T,Trabeculostomy internal laser with scope for glaucoma
HCPCS,0623T,Automated quantification coronary plaque CT analysis
HCPCS,0624T,Coronary plaque CT data preparation and transmission
HCPCS,0625T,Coronary plaque CT computerized analysis
HCPCS,0626T,Coronary plaque CT review computer analysis and report
HCPCS,0627T,Percutaneous injection allogeneic cells lumbar fluoroscopy first
HCPCS,0628T,Percutaneous injection allogeneic cells lumbar fluoroscopy each
HCPCS,0629T,Percutaneous injection allogeneic cells lumbar CT first
HCPCS,0630T,Percutaneous injection allogeneic cells lumbar CT each additional
HCPCS,0631T,Visible light hyperspectral imaging measurement per extremity
HCPCS,0632T,Percutaneous transcatheter ultrasound ablation pulmonary artery
HCPCS,0633T,CT breast with 3D rendering one side without contrast
HCPCS,0634T,CT breast with 3D rendering one side with contrast
HCPCS,0635T,CT breast 3D one side without contrast followed by contrast
HCPCS,0636T,CT breast with 3D rendering both sides without contrast
HCPCS,0637T,CT breast with 3D rendering both sides with contrast
HCPCS,0638T,CT breast 3D both sides without contrast followed by contrast
HCPCS,0639T,Wireless skin sensor thermal anisotropy measurement
